10.0.0.5:3456 93.184.216.34:8080
10.0.0.7:2222 151.101.1.69:443
192.168.0.2:49152 8.8.8.8:53
172.16.254.1:3306 198.51.100.2:1433
10.1.1.4:4020 104.244.42.1:80
172.30.0.5:61500 192.0.2.1:22
192.168.56.1:55000 203.0.113.5:25
10.10.10.10:12345 172.16.0.1:443
192.168.1.10:50432 172.217.11.142:80
192.168.1.10:50432 172.217.11.142:443
192.168.1.10:50432 172.217.11.142:21
192.168.1.10:50432 172.217.11.142:22
192.168.100.50:60000 198.18.0.1:161
192.168.1.8:44321 203.0.113.10:110
10.10.1.1:57000 192.168.1.1:445
172.16.100.2:31337 8.8.4.4:53
192.168.1.20:49000 224.0.0.1:1900
10.0.2.15:5000 239.255.255.250:1900
192.168.43.12:1234 192.168.43.1:80
10.20.30.40:4096 172.217.16.206:443
